SSEC_CODE,ATTAINMENT
0,NO FORMAL QUALIFICATION / PRE-PRIMARY / LOWER PRIMARY
1,PRIMARY
2,LOWER SECONDARY
3,SECONDARY
4,POST-SECONDARY (NON-TERTIARY): GENERAL AND VOCATIONAL
5,POLYTECHNIC DIPLOMA
6,PROFESSIONAL QUALIFICATION AND OTHER DIPLOMA
7,BACHELOR'S OR EQUIVALENT
8,POSTGRADUATE DIPLOMA/CERTIFICATE (EXCLUDING MASTER'S AND DOCTORATE)
9,MASTER'S AND DOCTORATE OR EQUIVALENT
N,MODULAR CERTIFICATION (NON-AWARD COURSES / NON-FULL QUALIFICATIONS)
X,NOT REPORTED
