ONET_CODE,ATTAINMENT
1,SECONDARY
2,POST-SECONDARY (NON-TERTIARY): GENERAL AND VOCATIONAL
3,POLYTECHNIC DIPLOMA
4,BACHELOR'S OR EQUIVALENT
5,MASTER'S AND DOCTORATE OR EQUIVALENT
